{100, A }
{200, A }
{300, B }
{400, C }
{500, D }
{600, E }
{700, F }
{800, G }
{900, H }
{1000, I }
{1100, J }
{1200, K }
{1300, L }
{1400, M }
{1500, N }
{1600, O }
{1700, P }
{1800, Q }
{1900, R }
{2000, S }
{2100, T }
{2200, U }
{2300, V }
{2400, W }
{2500, X }
{2600, Y }
{2700, Z }
{2800, [ }
{2900, \ }
{3000, ] }
{3100, ^ }
{3200, _ }
{3300, ` }
{3400, a }
{3500, b }
{3600, c }
{3700, d }
{3800, e }
{3900, f }
{4000, g }
{4100, h }
{4200, i }
{4300, j }
{4400, k }
{4500, l }
{4600, m }
{4700, n }
{4800, o }
{4900, p }
{5000, q }
{5100, r }
{5200, s }
{5300, t }
{5400, u }
{5500, v }
{5600, w }
{5700, x }
{5800, y }
{5900, z }
{6000, { }
{6100, | }
{6200, A }
{6300, B }
{6400, C }
{6500, D }
{6600, E }
{6700, F }
{6800, G }
{6900, H }
{7000, I }
{7100, J }
{7200, K }
{7300, L }
{7400, M }
{7500, N }
{7600, O }
{7700, P }
{7800, Q }
{7900, R }
{8000, S }
{8100, T }
{8200, U }
{8300, V }
{8400, W }
{8500, X }
{8600, Y }
{8700, Z }
{8800, [ }
{8900, \ }
{9000, ] }
{9100, ^ }
{9200, _ }
{9300, ` }
{9400, a }
{9500, b }
{9600, c }
{9700, d }
{9800, e }
{9900, f }
{10000, g }
{10100, h }
{10200, i }
{10300, j }
{10400, k }
{10500, l }
{10600, m }
{10700, n }
{10800, o }
{10900, p }
{11000, q }
{11100, r }
{11200, s }
{11300, t }
{11400, u }
{11500, v }
{11600, w }
{11700, x }
{11800, y }
{11900, z }
{12000, { }
{12100, | }
{12200, A }
{12300, B }
{12400, C }
{12500, D }
{12600, E }
{12700, F }
{12800, G }
{12900, H }
{13000, I }
{13100, J }
{13200, K }
{13300, L }
{13400, M }
{13500, N }
{13600, O }
{13700, P }
{13800, Q }
{13900, R }
{14000, S }
{14100, T }
{14200, U }
{14300, V }
{14400, W }
{14500, X }
{14600, Y }
{14700, Z }
{14800, [ }
{14900, \ }
{15000, ] }
{15100, ^ }
{15200, _ }
{15300, ` }
{15400, a }
{15500, b }
{15600, c }
{15700, d }
{15800, e }
{15900, f }
{16000, g }
{16100, h }
{16200, i }
{16300, j }
{16400, k }
{16500, l }
{16600, m }
{16700, n }
{16800, o }
{16900, p }
{17000, q }
{17100, r }
{17200, s }
{17300, t }
{17400, u }
{17500, v }
{17600, w }
{17700, x }
{17800, y }
{17900, z }
{18000, { }
{18100, | }
{18200, A }
{18300, B }
{18400, C }
{18500, D }
{18600, E }
{18700, F }
{18800, G }
{18900, H }
{19000, I }
{19100, J }
{19200, K }
{19300, L }
{19400, M }
{19500, N }
{19600, O }
{19700, P }
{19800, Q }
{19900, R }
{20000, S }
{20100, T }
{20200, U }
{20300, V }
{20400, W }
{20500, X }
{20600, Y }
{20700, Z }
{20800, [ }
{20900, \ }
{21000, ] }
{21100, ^ }
{21200, _ }
{21300, ` }
{21400, a }
{21500, b }
{21600, c }
{21700, d }
{21800, e }
{21900, f }
{22000, g }
{22100, h }
{22200, i }
{22300, j }
{22400, k }
{22500, l }
{22600, m }
{22700, n }
{22800, o }
{22900, p }
{23000, q }
{23100, r }
{23200, s }
{23300, t }
{23400, u }
{23500, v }
{23600, w }
{23700, x }
{23800, y }
{23900, z }
{24000, { }
{24100, | }
{24200, A }
{24300, B }
{24400, C }
{24500, D }
{24600, E }
{24700, F }
{24800, G }
{24900, H }
{25000, I }
{25100, J }
{25200, K }
{25300, L }
{25400, M }
{25500, N }
{25600, O }
{25700, P }
{25800, Q }
{25900, R }
{26000, S }
{26100, T }
{26200, U }
{26300, V }
{26400, W }
{26500, X }
{26600, Y }
{26700, Z }
{26800, [ }
{26900, \ }
{27000, ] }
{27100, ^ }
{27200, _ }
{27300, ` }
{27400, a }
{27500, b }
{27600, c }
{27700, d }
{27800, e }
{27900, f }
{28000, g }
{28100, h }
{28200, i }
{28300, j }
{28400, k }
{28500, l }
{28600, m }
{28700, n }
{28800, o }
{28900, p }
{29000, q }
{29100, r }
{29200, s }
{29300, t }
{29400, u }
{29500, v }
{29600, w }
{29700, x }
{29800, y }
{29900, z }
