,loss
0,6.2691826820373535
1,5.968964576721191
2,5.948447227478027
3,5.923257350921631
4,5.892089366912842
5,5.859729766845703
6,5.830082893371582
7,5.7966389656066895
8,5.760026454925537
9,5.721923828125
10,5.670081615447998
11,5.610134601593018
12,5.540577411651611
13,5.452146053314209
14,5.359630107879639
15,5.266530990600586
16,5.168856620788574
17,5.0625786781311035
18,4.962616920471191
19,4.862947463989258
20,4.7652082443237305
21,4.6742658615112305
22,4.579797744750977
23,4.483438968658447
24,4.39447546005249
25,4.315319061279297
26,4.231483459472656
27,4.153963088989258
28,4.068570613861084
29,4.00076150894165
30,3.9222118854522705
31,3.8621163368225098
32,3.787039041519165
33,3.730546236038208
34,3.6676526069641113
35,3.603830337524414
36,3.544391393661499
37,3.4834675788879395
38,3.4325602054595947
39,3.3729066848754883
40,3.3241329193115234
41,3.271409273147583
42,3.220442771911621
43,3.161022663116455
44,3.1158971786499023
45,3.0747485160827637
46,3.0433242321014404
47,2.9907989501953125
48,2.9433979988098145
49,2.905622720718384
50,2.8653995990753174
51,2.8269708156585693
52,2.7785210609436035
53,2.7550454139709473
54,2.705077648162842
55,2.6763317584991455
56,2.6398074626922607
57,2.5938727855682373
58,2.5778274536132812
59,2.5483860969543457
60,2.5095937252044678
61,2.4805564880371094
62,2.450340986251831
63,2.414340019226074
64,2.378899574279785
65,2.362290620803833
66,2.3252100944519043
67,2.3091142177581787
68,2.2724742889404297
69,2.2527291774749756
70,2.231889486312866
71,2.198115348815918
72,2.1533501148223877
73,2.1459670066833496
74,2.119175672531128
75,2.1115200519561768
76,2.075458526611328
77,2.0457217693328857
78,2.0207951068878174
79,1.9947136640548706
80,1.987033724784851
81,1.9551455974578857
82,1.9292937517166138
83,1.902581810951233
84,1.894829273223877
85,1.868464469909668
86,1.8666858673095703
87,1.8332533836364746
88,1.8102569580078125
89,1.7932648658752441
90,1.7676814794540405
91,1.7634705305099487
92,1.7349987030029297
93,1.7501288652420044
94,1.6933598518371582
95,1.6850982904434204
96,1.6771527528762817
97,1.6531325578689575
98,1.6488840579986572
99,1.6170737743377686
