Image_Number;T;LC;In;NF;CL;CF;Species
1.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
10.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
11.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
12.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
13.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
14.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
15.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
16.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
17.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
18.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
19.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
2.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
20.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
21.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
22.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
23.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
24.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
3.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
4.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
5.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
6.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
7.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
8.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
9.jpg;Spot;Lobed;Raceme;AFew;PinkRedWhite;White;1
27.jpg;Spot;Lobed;Raceme;AFew;White;GreenBrown;2
28.jpg;Spot;Lobed;Raceme;AFew;White;GreenBrown;2
29.jpg;Spot;Lobed;Raceme;AFew;White;GreenBrown;2
30.jpg;Spot;Lobed;Raceme;AFew;White;GreenBrown;2
31.jpg;Spot;Lobed;Raceme;AFew;White;GreenBrown;2
32.jpg;Spot;Lobed;Raceme;AFew;White;GreenBrown;2
33.jpg;Spot;Lobed;Raceme;AFew;White;GreenBrown;2
34.jpg;Spot;Lobed;Raceme;AFew;White;GreenBrown;2
35.jpg;Spot;Lobed;Raceme;AFew;White;GreenBrown;2
36.jpg;Spot;Lobed;Raceme;AFew;White;GreenBrown;2
37.jpg;Spot;Lobed;Raceme;AFew;White;GreenBrown;2
100.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
101.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
102.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
103.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
104.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
105.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
106.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
107.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
108.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
109.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
110.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
111.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
112.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
113.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
114.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
115.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
116.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
117.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
118.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
42.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
43.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
44.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
45.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
46.jpg;Spot;Simple;SingleOrPair;SinglePair;PinkRed;Pink;3
